run_id,window,scenario,factor,pf,expectancy_R,trades,winrate,ci_low,ci_high,crosses_zero
20260221_141619,,BASE,1.0,2.7700071541388103,0.38302001035685057,6,0.6666666666666666,-0.4068810973128946,1.209589706035444,True
20260221_141619,,+20% COST,1.2,2.562538383218745,0.3533366415934205,6,0.6666666666666666,-0.4361391801740388,1.1775861627753348,True
20260221_141619,,+50% COST,1.5,2.2827980240550256,0.3088115884482751,6,0.6666666666666666,-0.48002630446575506,1.129580847885171,True
20260221_145350,,BASE,1.0,5.825171906145972,0.38494015174256024,2,0.5,-0.159555,0.9294353034851205,True
20260221_145350,,+20% COST,1.2,4.685320192047539,0.35280675794528704,2,0.5,-0.191466,0.8970795158905741,True
20260221_145350,,+50% COST,1.5,3.545468477949107,0.30460666724937735,2,0.5,-0.2393325,0.8485458344987546,True
20260221_152326,,BASE,1.0,0.5593941106974595,-0.34690773192808444,30,0.26666666666666666,-0.777543020250368,0.10946777067895037,True
20260221_152326,,+20% COST,1.2,0.5348909745082067,-0.37609485269885196,30,0.26666666666666666,-0.8075960175478356,0.08057995730395247,True
20260221_152326,,+50% COST,1.5,0.5004619583437357,-0.4198755338550032,30,0.26666666666666666,-0.8526755134940373,0.037248237241455574,True
20260221_150309,,BASE,1.0,0.5876649231561987,-0.3198804488180286,29,0.27586206896551724,-0.7603623233272825,0.142780354736755,True
20260221_150309,,+20% COST,1.2,0.5618578902101891,-0.3491726502679294,29,0.27586206896551724,-0.7896762156752717,0.11366582926134607,True
20260221_150309,,+50% COST,1.5,0.5256186382680453,-0.3931109524427808,29,0.27586206896551724,-0.8336470541972553,0.06999404104823247,True
