run_id,segment,start_ts,end_ts,trades,expectancy_R,pf,winrate
20260221_145350,S1,2023-02-02T10:00:00+00:00,2023-04-14T15:55:00+00:00,1,-0.15955,0.0,0.0
20260221_145350,S2,2023-04-14T15:55:00+00:00,2023-06-24T21:50:00+00:00,0,,,
20260221_145350,S3,2023-06-24T21:50:00+00:00,2023-09-04T03:45:00+00:00,0,,,
20260221_145350,S4,2023-09-04T03:45:00+00:00,2023-11-14T09:40:00+00:00,1,0.92944,inf,1.0
20260221_142524,S1,2023-02-02T10:00:00+00:00,2023-04-14T15:55:00+00:00,2,-0.6393150000000001,0.0,0.0
20260221_142524,S2,2023-04-14T15:55:00+00:00,2023-06-24T21:50:00+00:00,0,,,
20260221_142524,S3,2023-06-24T21:50:00+00:00,2023-09-04T03:45:00+00:00,0,,,
20260221_142524,S4,2023-09-04T03:45:00+00:00,2023-11-14T09:40:00+00:00,2,0.38665000000000005,5.95260663507109,0.5
20260221_143447,S1,2023-02-02T10:00:00+00:00,2023-04-14T15:55:00+00:00,2,-0.6393150000000001,0.0,0.0
20260221_143447,S2,2023-04-14T15:55:00+00:00,2023-06-24T21:50:00+00:00,0,,,
20260221_143447,S3,2023-06-24T21:50:00+00:00,2023-09-04T03:45:00+00:00,0,,,
20260221_143447,S4,2023-09-04T03:45:00+00:00,2023-11-14T09:40:00+00:00,2,0.33272,5.261816318688356,0.5
20260221_144418,S1,2023-01-26T10:40:00+00:00,2023-04-14T10:16:15+00:00,7,-0.3098885714285714,0.44286260983020465,0.14285714285714285
20260221_144418,S2,2023-04-14T10:16:15+00:00,2023-07-01T09:52:30+00:00,1,-0.16522,0.0,0.0
20260221_144418,S3,2023-07-01T09:52:30+00:00,2023-09-17T09:28:45+00:00,0,,,
20260221_144418,S4,2023-09-17T09:28:45+00:00,2023-12-04T09:05:00+00:00,5,-0.16868199999999997,0.47871367294213635,0.2
20260221_150309,S1,2023-01-26T11:25:00+00:00,2023-04-16T18:23:45+00:00,15,-0.5820806666666665,0.3630224880993635,0.2
20260221_150309,S2,2023-04-16T18:23:45+00:00,2023-07-06T01:22:30+00:00,7,-0.5247885714285714,0.3089977465191433,0.14285714285714285
20260221_150309,S3,2023-07-06T01:22:30+00:00,2023-09-24T08:21:15+00:00,1,-1.16238,0.0,0.0
20260221_150309,S4,2023-09-24T08:21:15+00:00,2023-12-13T15:20:00+00:00,6,0.7150949999999999,2.85600764798505,0.6666666666666666
20260221_151316,S1,2023-01-26T11:25:00+00:00,2023-04-16T18:23:45+00:00,15,-0.5820806666666665,0.3630224880993635,0.2
20260221_151316,S2,2023-04-16T18:23:45+00:00,2023-07-06T01:22:30+00:00,7,-0.5247885714285714,0.3089977465191433,0.14285714285714285
20260221_151316,S3,2023-07-06T01:22:30+00:00,2023-09-24T08:21:15+00:00,1,-1.16238,0.0,0.0
20260221_151316,S4,2023-09-24T08:21:15+00:00,2023-12-13T15:20:00+00:00,6,0.7150949999999999,2.85600764798505,0.6666666666666666
20260221_152326,S1,2023-01-26T11:25:00+00:00,2023-04-16T18:23:45+00:00,16,-0.6163687499999999,0.3350015778869262,0.1875
20260221_152326,S2,2023-04-16T18:23:45+00:00,2023-07-06T01:22:30+00:00,7,-0.5247885714285714,0.3089977465191433,0.14285714285714285
20260221_152326,S3,2023-07-06T01:22:30+00:00,2023-09-24T08:21:15+00:00,1,-1.16238,0.0,0.0
20260221_152326,S4,2023-09-24T08:21:15+00:00,2023-12-13T15:20:00+00:00,6,0.7150949999999999,2.85600764798505,0.6666666666666666
20260221_153339,S1,2023-01-26T11:25:00+00:00,2023-04-16T18:23:45+00:00,15,-0.6420806666666666,0.2973638038264423,0.2
20260221_153339,S2,2023-04-16T18:23:45+00:00,2023-07-06T01:22:30+00:00,7,-0.5676457142857142,0.25256667331299304,0.14285714285714285
20260221_153339,S3,2023-07-06T01:22:30+00:00,2023-09-24T08:21:15+00:00,1,-1.16238,0.0,0.0
20260221_153339,S4,2023-09-24T08:21:15+00:00,2023-12-13T15:20:00+00:00,6,0.515095,2.336913640060214,0.6666666666666666
